masked_id	Date	Des1	Des2	Des3	Payment
1	11162016	HOBBIES	ENTERTAINMENT	ARTISTS SUPPLY AND CRAFT SHOPS 	190
1	11162016	PHARMACY	HEALTHCARE / PHARMACY	NURSING AND PERSONAL CARE FACILITIES 	97
1	11162016	GAS	AUTO / GAS	ACCENT RENT-A-CAR	49
1	11162016	ANTIQUES	RETAIL / DEPARTMENT STORES	BOOK STORES 	112
1	11182016	CONVENIENCE STORES	RETAIL / DEPARTMENT STORES	ELECTRONICS STORES 	137
1	11182016	CONTRACTOR/BUSINESS SERVICES	CONTRACTOR / BUSINESS SERVICES	"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS "	248
1	11212016	HOT FILE	OTHER	INTRA-COMPANY PURCHASES	62
1	11212016	CHARITY/COMMUNITY ORG	CHARITY / COMMUNITY ORG.	CHARITABLE AND SOCIAL SERVICE ORGANIZATIONS 	63
1	11252016	APPLIANCES	RETAIL / DEPARTMENT STORES	"VIDEO, GAME VIDEO AMUSEMENT GAME SUPPLIES "	204
1	11272016	GAS	AUTO / GAS	PETROLEUM AND PETROLEUM PRODUCTS 	31
1	12022016	EDUCATION	EDUCATION	"COLLEGES, UNIVERSITIES, PROFESSIONAL SCHOOLS, JUNIOR COLLEGES"	3180
1	12022016	TELECOM	UTILITIES / TELECOM	CABLE AND OTHER PAY TELEVISION SERVICES	99
1	12022016	DEPARTMENT STORES	RETAIL / DEPARTMENT STORES	DEPARTMENT STORES 	175
1	12032016	VEHICLE RENTAL	AUTO / GAS	USA RENT-A-CAR	35
1	12052016	PET/VETERINARY	PET / VETERINARY	ANIMAL SPECIALTY SERVICES (BMG INFERRED DEFINITION)	453
1	12062016	FINANCIAL SERVICES	INSURANCE / FINANCIAL SERVICES	REAL ESTATE AGENTS AND MANAGERS RENTALS (BMG INFERRED DEFINITION)	177
1	12062016	DIRECT MARKETING	HOUSEHOLD	DIRECT MARKETING - CATALOG MERCHANT 	72
1	12092016	POSTAGE/DELIVERY	POSTAGE / DELIVERY	DELIVERY SERVICES (BMG INFERRED DEFINITION)	28
1	12092016	TAX	TAX	TAX PAYMENTS 	40
1	12092016	TRANSPORTATION	AIRLINES / TRANSPORTATION	NORDAIR	1962
1	12112016	HOT FILE	OTHER	NONCLASSIFIABLE ESTABLISHMENTS	63
1	12132016	DURABLES	RETAIL / DEPARTMENT STORES	RETAIL-MISCELLANEOUS RETAIL	142
1	12132016	NONCLASSIFIABLE ESTABLISHMENTS	OTHER	UK SUPERMARKETS HOT FILE	83
1	12142016	CONTRACTOR/BUSINESS SERVICES	CONTRACTOR / BUSINESS SERVICES	"ARCHITECTURAL, ENGINEERING, AND SURVEYING SERVICES "	335
1	12202016	ENTERTAINMENT	ENTERTAINMENT	THEATRICAL PRODUCERS (EXCEPT MOTION PICTURES) AND TICKET AGENCIES	408
1	12212016	LUGGAGE	RETAIL / DEPARTMENT STORES	WOMENS ACCESSORY AND SPECIALTY SHOPS (BMG INFERRED DEFINITION)	166
1	12212016	PERSONAL SERVICES	PERSONAL SERVICES	MISCELLANEOUS PERSONAL SERVICES NOT ELSEWHERE CLASSIFIED	96
1	12212016	RESTAURANTS	RESTAURANTS	CATERERS 	214
1	12222016	GIFTS	RETAIL / DEPARTMENT STORES	WOMENS ACCESSORY AND SPECIALTY SHOPS (BMG INFERRED DEFINITION)	137
1	12232016	HEALTHCARE	HEALTHCARE / PHARMACY	"OPTICIANS, OPTICAL GOODS, AND EYEGLASSES "	48
1	12232016	RETAIL	RETAIL / DEPARTMENT STORES	RETAIL (BMG INFERRED DEFINITION)	118
1	12232016	GAS	AUTO / GAS	"MOTOR VEHICLE SUPPLIES, NEW PARTS (BUSINESS-TO-BUSINESS) "	37
1	12232016	HEALTHCARE	HEALTHCARE / PHARMACY	ORTHOPEDIC GOODS - PROSTHETIC DEVICES 	92
1	12252016	SPORTING GOODS	RETAIL / DEPARTMENT STORES	"JEWELRY, PRECIOUS METAL"	191
1	12292016	APPLIANCES	RETAIL / DEPARTMENT STORES	"TYPEWRITER STORES, SALES, RENTALS, SERVICE"	202
2	07012016	HEALTHCARE	HEALTHCARE / PHARMACY	OPTOMETRISTS AND OPHTHALMOLOGISTS 	102
2	07072016	GIFTS	RETAIL / DEPARTMENT STORES	"PHOTOGRAPHIC, PHOTOCOPY, MICROFILM EQUIPMENT, SUPPLIES"	215
2	07092016	REAL ESTATE	INSURANCE / FINANCIAL SERVICES	FINANCIAL INSTITUTIONS - FEDERAL SAVINGS BANKS (BMG INFERRED DEFINITION)	308
2	07092016	VARIETY STORES	RETAIL / DEPARTMENT STORES	NEWS DEALERS AND NEWSSTANDS 	145
2	07102016	COMPUTERS	RETAIL / DEPARTMENT STORES	"COMPUTER PROGRAMMING, DATA PROCESSING, AND INTEGRATED SYSTEMS DESIGN SERVICES"	226
2	07112016	HOTEL/MOTEL	LODGING	CROSSLAND	877
2	07112016	DEPARTMENT STORES	RETAIL / DEPARTMENT STORES	"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS "	289
2	07112016	CLOTHES	RETAIL / DEPARTMENT STORES	"TYPEWRITER STORES, SALES, RENTALS, SERVICE"	154
2	07112016	NONCLASSIFIABLE ESTABLISHMENTS	OTHER	U.S. GOVERNMENT U.S. FEDERAL GOVERNMENT AGENCIES OR DEPARTMENTS 	80
2	07122016	ANTIQUES	RETAIL / DEPARTMENT STORES	CIGAR STORES AND STANDS 	231
2	07132016	REAL ESTATE	INSURANCE / FINANCIAL SERVICES	"OVERDRAFT PROTECTION TRANSFER, CASH ADVANCE, OR BALANCE TRANSFER (BMG INFERRED DEFINITION)"	367
2	07132016	LEGAL	PERSONAL SERVICES	BAIL AND BOND PAYMENTS 	38
2	07162016	CHARITY/COMMUNITY ORG	CHARITY / COMMUNITY ORG.	RELIGIOUS ORGANIZATIONS 	124
2	07162016	ALCOHOL	GROCERIES	"PACKAGE STORES BEER, WINE, AND LIQUOR (BMG INFERRED DEFINITION)"	145
2	07212016	CONVENIENCE STORES	RETAIL / DEPARTMENT STORES	"MEN'S, WOMEN'S, AND CHILDREN'S UNIFORMS AND COMMERCIAL CLOTHING"	143
2	07222016	TRAVEL	AIRLINES / TRANSPORTATION	AMERICA WEST	1744
2	07222016	CHARITY/COMMUNITY ORG	CHARITY / COMMUNITY ORG.	CHARITABLE AND SOCIAL SERVICE ORGANIZATIONS 	78
2	07222016	HOTEL/MOTEL	LODGING	PALACE RESORTS	1174
2	07222016	VARIETY STORES	RETAIL / DEPARTMENT STORES	GLASSWARE/CRYSTAL STORES 	177
2	07232016	LEGAL	PERSONAL SERVICES	FINES 	44
2	07242016	GROCERIES	GROCERIES	"MEAT AND FISH (SEAFOOD) MARKETS, INCLUDING FREEZER PROVISIONERS"	280
2	07242016	NONCLASSIFIABLE ESTABLISHMENTS	OTHER	GOVERNMENT SERVICES (NOT ELSEWHERE CLASSIFIED)	72
2	07262016	ANTIQUES	RETAIL / DEPARTMENT STORES	CIGAR STORES AND STANDS 	143
2	07272016	APPLIANCES	RETAIL / DEPARTMENT STORES	"PIECE GOODS, NOTIONS, AND OTHER DRY GOODS "	215
2	07302016	PAWN SHOPS	RETAIL / DEPARTMENT STORES	SHOE STORES	244
2	07302016	BARS	ENTERTAINMENT	"COMMERCIAL PHOTOGRAPHY, ART, AND GRAPHICS "	313
2	08032016	TAX	TAX	TAX PAYMENTS 	28
2	08042016	BARS	ENTERTAINMENT	TOURIST ATTRACTIONS AND EXHIBITS 	474
2	08042016	DISCOUNT STORES	RETAIL / DEPARTMENT STORES	MENS AND BOYS CLOTHING AND ACCESSORIES STORES 	254
2	08052016	RECREATION	ENTERTAINMENT	BICYCLE SHOPS - SALES AND SERVICE 	230
2	08052016	JEWELRY	RETAIL / DEPARTMENT STORES	DUTY FREE STORES	150
2	08072016	HOBBIES	ENTERTAINMENT	PUBLIC PUBLIC GOLF COURSES 	319
2	08102016	FURNISHINGS	HOUSEHOLD	CATALOG AND MAIL-ORDER HOUSES	45
2	08122016	VARIETY STORES	RETAIL / DEPARTMENT STORES	"MEN'S, WOMEN'S, AND CHILDREN'S UNIFORMS AND COMMERCIAL CLOTHING"	227
2	08122016	CONVENIENCE STORES	RETAIL / DEPARTMENT STORES	VARIETY STORES	130
2	08162016	POSTAGE/DELIVERY	POSTAGE / DELIVERY	POSTAL SERVICES - GOVERNMENT ONLY 	28
2	08162016	CONTRACTOR/BUSINESS SERVICES	CONTRACTOR / BUSINESS SERVICES	DRY CLEANERS 	142
2	08162016	ALCOHOL	GROCERIES	GROCERY STORES AND SUPERMARKETS 	168
2	08172016	OTHER	OTHER	MISCELLANEOUS STORES (BMG INFERRED DEFINITION)	52
2	08172016	HOTEL/MOTEL	LODGING	NEVELE GRAND RESORT & COUNTRY CLUB	1025
2	08172016	JEWELRY	RETAIL / DEPARTMENT STORES	WHOLESALE CLUBS 	280
2	08182016	GAS	AUTO / GAS	MOTOR HOME AND RECREATIONAL VEHICLE RENTALS 	70
2	08182016	PERSONAL SERVICES	PERSONAL SERVICES	"TAILORS, SEAMSTRESSES, MENDING, AND ALTERATIONS "	63
2	08192016	CONVENIENCE STORES	RETAIL / DEPARTMENT STORES	SHOE STORES 	164
2	08192016	CONTRACTOR/BUSINESS SERVICES	CONTRACTOR / BUSINESS SERVICES	TESTING LABORATORIES (NON-MEDICAL TESTING) 	282
2	08192016	RECREATION	ENTERTAINMENT	PHOTOFINISHING LABORATORIES AND PHOTO DEVELOPING 	322
2	08192016	HOTEL/MOTEL	LODGING	CONCORDE HOTELS	957
2	08202016	FURNISHINGS	HOUSEHOLD	DIRECT MARKETING - CONTINUITY/SUBSCRIPTION MERCHANT	58
2	08202016	HOTEL/MOTEL	LODGING	OBEROI HOTELS	594
2	08202016	DURABLES	RETAIL / DEPARTMENT STORES	"COMPUTER PROGRAMMING, DATA PROCESSING, AND INTEGRATED SYSTEMS DESIGN SERVICES"	134
2	08222016	ANTIQUES	RETAIL / DEPARTMENT STORES	CHILDRENS AND INFANTS WEAR STORES 	163
2	08262016	RECREATION	ENTERTAINMENT	RELIGIOUS GOODS STORES RELIGIOUS GOODS STORES 	260
2	08292016	JEWELRY	RETAIL / DEPARTMENT STORES	NEWS DEALERS AND NEWSSTANDS 	204
2	08292016	VARIETY STORES	RETAIL / DEPARTMENT STORES	ANTIQUE REPRODUCTIONS	276
2	08302016	GAS	AUTO / GAS	AMERICAN INTERNATIONAL	47
2	08312016	EDUCATION	EDUCATION	SCHOOLS AND EDUCATIONAL SERVICES (NOT ELSEWHERE CLASSIFIED)	3678
2	08312016	PAWN SHOPS	RETAIL / DEPARTMENT STORES	"COMPUTER MAINTENANCE, REPAIR, SERVICES (NOT ELSEWHERE CLASSIFIED)"	138
2	09012016	REAL ESTATE	INSURANCE / FINANCIAL SERVICES	PAYMENT SERVICE PROVIDER - EASY SAVINGS (BMG INFERRED DEFINITION)	357
2	09032016	CHARITY/COMMUNITY ORG	CHARITY / COMMUNITY ORG.	"CIVIC, SOCIAL, AND FRATERNAL ASSOCIATIONS "	145
2	09032016	EDUCATION	EDUCATION	ELEMENTARY AND SECONDARY SCHOOLS 	4834
2	09042016	COMPUTERS	RETAIL / DEPARTMENT STORES	NONDURABLE GOODS (NOT ELSEWHERE CLASSIFIED) 	293
2	09062016	HOBBIES	ENTERTAINMENT	"DRINKING PLACES (ALCOHOLIC BEVERAGES) BARS, TAVERNS,NIGHTCLUBS, COCKTAIL LOUNGES, AND DISCOTHEQUES"	178
2	09062016	GAMBLING	ENTERTAINMENT	MOTION PICTURE THEATERS 	313
2	09062016	LUGGAGE	RETAIL / DEPARTMENT STORES	MENS AND WOMENS CLOTHING STORES 	182
2	09112016	WHOLESALE CLUBS	RETAIL / DEPARTMENT STORES	FLORISTS 	241
2	09112016	ELECTRONICS	RETAIL / DEPARTMENT STORES	CIGAR STORES AND STANDS 	191
2	09122016	FAST FOOD	RESTAURANTS	BAKERY PRODUCTS	99
2	09122016	OTHER	OTHER	INTRA-COMPANY PURCHASES	69
2	09142016	RETAIL	RETAIL / DEPARTMENT STORES	SHOE STORES 	216
2	09152016	PAWN SHOPS	RETAIL / DEPARTMENT STORES	DEPARTMENT STORES 	122
2	09152016	FURNISHINGS	HOUSEHOLD	CATALOG AND MAIL-ORDER HOUSES	41
2	09162016	TELECOM	UTILITIES / TELECOM	CABLE AND OTHER PAY TELEVISION SERVICES	66
2	09172016	AUTO	AUTO / GAS	AVIS RENT-A-CAR	60
2	09172016	APPLIANCES	RETAIL / DEPARTMENT STORES	CLOTHING STORES (BMG INFERRED DEFINITION)	252
2	09172016	ANTIQUES	RETAIL / DEPARTMENT STORES	"HOBBY, TOY AND GAME SHOPS "	218
2	09222016	REAL ESTATE	INSURANCE / FINANCIAL SERVICES	"NON-FINANCIAL INSTITUTIONS, FOREIGN CURRENCY, MONEY ORDERS (NOT WIRE TRANSFER), TRAVELERS CHEQUES"	346
2	09222016	HOTEL/MOTEL	LODGING	QUEENS MOAT HOUSES	420
2	09232016	GOVERNMENT SERVICES	OTHER	USED MERCHANDISE AND SECONDHAND STORES 	77
2	09232016	RETAIL	RETAIL / DEPARTMENT STORES	WIG AND TOUPEE STORES 	280
2	09302016	HOT FILE	OTHER	WHOLESALE DISTRIBUTORS AND MANUFACTURERS (BMG INFERRED DEFINITION)	87
2	09302016	WHOLESALE CLUBS	RETAIL / DEPARTMENT STORES	RECORD STORES 	159
2	09302016	HOBBIES	ENTERTAINMENT	CAMERA AND PHOTOGRAPHIC SUPPLY STORES 	267
2	09302016	GAMBLING	ENTERTAINMENT	BOAT RENTALS AND LEASING 	516
2	10012016	DIRECT MARKETING	HOUSEHOLD	DIRECT MARKETING - OTHER DIRECT MARKETERS (NOT ELSEWHERE CLASSIFIED)	33
2	10082016	RESTAURANTS	RESTAURANTS	BAKERIES 	108
2	10142016	PERSONAL SERVICES	PERSONAL SERVICES	"COURT COSTS, INCLUDING ALIMONY AND CHILD SUPPORT "	49
2	10152016	APPLIANCES	RETAIL / DEPARTMENT STORES	"PRECIOUS STONES, METALS, WATCHES, JEWELRY"	163
2	10162016	USED ITEMS	OTHER	GOVERNMENT SERVICES (NOT ELSEWHERE CLASSIFIED) 	67
2	10172016	BUILDING SUPPLY/WHOLESALE	BUILDING SUPPLY / WHOLESALE	INDUSTRIAL SUPPLIES (NOT ELSEWHERE CLASSIFIED) 	1112
2	10172016	ELECTRONICS	RETAIL / DEPARTMENT STORES	"JEWELRY, PRECIOUS METAL"	243
2	10172016	ALCOHOL	GROCERIES	"MEAT AND FISH (SEAFOOD) MARKETS, INCLUDING FREEZER PROVISIONERS"	273
2	10172016	LUGGAGE	RETAIL / DEPARTMENT STORES	ELECTRONICS STORES 	165
2	10182016	ALCOHOL	GROCERIES	"PACKAGE STORES BEER, WINE, AND LIQUOR "	240
2	10182016	CONVENIENCE STORES	RETAIL / DEPARTMENT STORES	SHOE STORES 	215
2	10182016	RECREATION	ENTERTAINMENT	BILLIARD AND POOL ESTABLISHMENTS 	318
2	10182016	APPLIANCES	RETAIL / DEPARTMENT STORES	VARIETY STORES	171
2	10212016	GAS	AUTO / GAS	PAYLESS CAR RENTAL	37
2	10222016	USED ITEMS	OTHER	BUSINESS SERVICES (BMG INFERRED DEFINITION)	69
2	10222016	PERSONAL SERVICES	PERSONAL SERVICES	DATING AND ESCORT SERVICES 	70
2	10222016	INSURANCE	INSURANCE / FINANCIAL SERVICES	WIRE TRANSFER MONEY ORDERS	378
2	10252016	ELECTRONICS	RETAIL / DEPARTMENT STORES	"TYPEWRITER STORES, SALES, RENTALS, SERVICE"	241
